,year,month,uf_acronym,type,number_of_consumers,consumption
03
11664,2004,1,RO,residential,258610,44271.0
11665,2004,1,AC,residential,103396,15778.13
11666,2004,1,AM,residential,480619,84473.0
11667,2004,1,RR,residential,66138,15606.65
11668,2004,1,PA,residential,1049108,141170.69
11669,2004,1,AP,residential,102074,21780.0
11670,2004,1,TO,residential,232464,25505.31
11671,2004,1,MA,residential,979489,88613.0
11672,2004,1,PI,residential,579441,55791.0
11673,2004,1,CE,residential,1724128,165168.0
11674,2004,1,RN,residential,704810,80257.85
11675,2004,1,PB,residential,820807,78698.21
11677,2004,1,AL,residential,577321,59273.0
11678,2004,1,SE,residential,467718,47598.8
11679,2004,1,BA,residential,3011623,294797.51
11680,2004,1,MG,residential,5050859,628873.67
11681,2004,1,ES,residential,811450,117209.9
11682,2004,1,RJ,residential,4900324,873761.16
11683,2004,1,SP,residential,11535305,2074540.88
11684,2004,1,PR,residential,2516268,389147.1
11685,2004,1,SC,residential,1489810,286688.71
11686,2004,1,RS,residential,2756426,456670.2
11687,2004,1,MS,residential,535977,87676.4
11688,2004,1,MT,residential,577274,105341.09
11689,2004,1,GO,residential,1526158,199039.0
11690,2004,1,DF,residential,570609,114484.0
11691,2004,2,RO,residential,259356,41823.0
11692,2004,2,AC,residential,104254,14807.61
11693,2004,2,AM,residential,482146,79776.66
11694,2004,2,RR,residential,66247,14793.02
11695,2004,2,PA,residential,1130826,133722.24
11696,2004,2,AP,residential,74507,14494.0
11697,2004,2,TO,residential,233251,23986.15
11698,2004,2,MA,residential,984691,81144.0
11699,2004,2,PI,residential,581075,46649.0
11700,2004,2,CE,residential,1729895,148543.7
11701,2004,2,RN,residential,706526,69742.03
11702,2004,2,PB,residential,824164,68827.4
11703,2004,2,PE,residential,,217764.55
11704,2004,2,AL,residential,578654,54516.0
11705,2004,2,SE,residential,468646,43054.31
11706,2004,2,BA,residential,3022800,269980.34
11707,2004,2,MG,residential,5068885,547149.8
11708,2004,2,ES,residential,815099,110618.0
